"","Race","Region","EDUC","Gender"
"2297","White","Midwest","Masters","Female"
"2298","Asian/Pacific Islander","West","Secondary","Male"
"2299","White","West","Bachelors","Male"
"2300","White","Midwest","Secondary","Female"
"2301","White","South","Bachelors","Male"
"2302","White","Midwest","Secondary","Female"
"2303","White","Midwest","Secondary","Female"
"2304","White","West","Secondary","Male"
"2305","White","South","Professional","Male"
"2306","Black","South","Primary","Male"
"2307","White","South","Primary","Female"
"2308","Hispanic","West","Secondary","Female"
"2309","Hispanic","West","Secondary","Female"
"2310","White","West","Secondary","Male"
"2311","White","Midwest","Bachelors","Female"
"2312","White","Midwest","Secondary","Female"
"2313","White","Midwest","Bachelors","Female"
"2314","Black","South","Secondary","Female"
"2315","White","South","Secondary","Female"
"2316","White","South","Secondary","Female"
"2317","White","South","Masters","Male"
"2318","White","South","Bachelors","Male"
"2319","White","West","Secondary","Male"
"2320","White","Midwest","Masters","Female"
"2321","White","South","Primary","Male"
"2322","White","West","Bachelors","Male"
"2323","White","South","Primary","Female"
"2324","Hispanic","West","Bachelors","Female"
"2325","White","Midwest","Secondary","Female"
"2326","White","South","Bachelors","Female"
"2327","White","South","Secondary","Male"
"2328","Black","South","Secondary","Male"
"2329","White","South","Masters","Female"
"2330","Hispanic","West","Secondary","Female"
"2331","Hispanic","West","Secondary","Female"
"2332","Hispanic","South","Primary","Female"
"2333","White","West","Secondary","Female"
"2334","Other","South","Bachelors","Male"
"2335","White","South","Secondary","Male"
"2336","White","South","Secondary","Male"
"2337","Black","Midwest","Secondary","Male"
"2338","White","South","Secondary","Female"
"2339","White","South","Professional","Female"
"2340","White","South","Bachelors","Male"
"2341","Hispanic","South","Primary","Female"
"2342","White","South","Bachelors","Male"
"2343","Hispanic","West","Secondary","Female"
"2344","White","Northeast","Bachelors","Female"
"2345","White","Midwest","Primary","Male"
"2346","White","South","Secondary","Female"
"2347","Black","South","Bachelors","Female"
"2348","White","South","Secondary","Female"
"2349","White","West","Bachelors","Male"
"2350","White","South","Bachelors","Female"
"2351","Black","South","Secondary","Female"
"2352","Black","South","Secondary","Female"
"2353","White","Midwest","Bachelors","Female"
"2354","White","South","Bachelors","Female"
"2355","Black","South","Primary","Female"
"2356","White","Midwest","Professional","Female"
"2357","White","South","Secondary","Female"
"2358","White","Northeast","Secondary","Female"
"2359","White","South","Secondary","Female"
"2360","Black","South","Secondary","Male"
"2361","Other","West","Primary","Female"
"2362","Black","Northeast","Professional","Male"
"2363","Asian/Pacific Islander","Midwest","Primary","Female"
"2364","Hispanic","South","Bachelors","Female"
"2365","Black","South","Primary","Female"
"2366","White","Midwest","Bachelors","Male"
"2367","Other","Midwest","Secondary","Female"
"2368","White","Northeast","Primary","Male"
"2369","White","Midwest","Masters","Male"
"2370","Black","South","Secondary","Female"
"2371","White","South","Secondary","Male"
"2372","Other","Midwest","Secondary","Female"
"2373","Hispanic","South","Secondary","Female"
"2374","White","South","Bachelors","Male"
"2375","Hispanic","West","Secondary","Male"
"2376","Black","West","Professional","Male"
"2377","White","West","Secondary","Female"
"2378","White","South","Secondary","Female"
"2379","White","South","Primary","Male"
"2380","Black","Midwest","Professional","Male"
"2381","Other","South","Professional","Male"
"2382","Asian/Pacific Islander","Northeast","Professional","Male"
"2383","White","Midwest","Professional","Male"
"2384","White","Midwest","Secondary","Female"
"2385","White","Midwest","Secondary","Male"
"2386","White","South","Secondary","Male"
"2387","Black","South","Secondary","Female"
"2388","White","West","Secondary","Male"
"2389","White","Midwest","Secondary","Male"
"2390","White","Northeast","Secondary","Female"
"2391","White","Midwest","Secondary","Female"
"2392","Hispanic","South","Primary","Male"
"2393","White","Midwest","Secondary","Female"
"2394","Hispanic","West","Primary","Male"
"2395","White","South","Secondary","Female"
"2396","Hispanic","South","Primary","Male"
"2397","White","West","Primary","Female"
"2398","White","South","Secondary","Female"
"2399","White","Midwest","Secondary","Male"
"2400","White","Midwest","Secondary","Female"
"2401","White","South","Bachelors","Female"
"2402","White","South","Bachelors","Female"
"2403","White","South","Bachelors","Female"
"2404","Black","South","Secondary","Female"
"2405","White","South","Secondary","Female"
"2406","White","Midwest","Secondary","Female"
"2407","White","Midwest","Masters","Male"
"2408","White","South","Secondary","Male"
"2409","White","South","Professional","Male"
"2410","Black","Midwest","Secondary","Female"
"2411","Black","West","Professional","Female"
"2412","White","South","Professional","Female"
"2413","White","West","Secondary","Female"
"2414","White","Midwest","Bachelors","Female"
"2415","Black","Northeast","Secondary","Male"
"2416","Hispanic","West","Primary","Female"
"2417","White","South","Secondary","Male"
"2418","White","Northeast","Bachelors","Male"
"2419","White","West","Primary","Female"
"2420","Hispanic","South","Bachelors","Male"
"2421","Black","Midwest","Bachelors","Male"
"2422","White","West","Bachelors","Male"
"2423","Hispanic","West","Secondary","Male"
"2424","White","Midwest","Bachelors","Male"
"2425","Hispanic","Midwest","Secondary","Female"
"2426","Hispanic","Midwest","Secondary","Female"
"2427","Hispanic","Northeast","Secondary","Female"
"2428","White","South","Bachelors","Male"
"2429","Hispanic","Midwest","Secondary","Male"
"2430","White","South","Masters","Female"
